ID,Name,Scientific Name
1,African Elephant,Loxodonta africana
2,African Buffalo,Syncerus caffer
3,Lion,Panthera leo
4,Leopard,Panthera pardus
5,Cheetah,Acinonyx jubatus
6,African Wild Dog,Lycaon pictus
7,Spotted Hyena,Crocuta crocuta
8,Brown Hyena,Parahyaena brunnea
9,Giraffe,Giraffa giraffa
10,Common Hippopotamus,Hippopotamus amphibius
11,Common Warthog,Phacochoerus africanus
12,Common Eland,Tragelaphus oryx
13,Greater Kudu,Tragelaphus strepsiceros
14,Waterbuck,Kobus ellipsiprymnus
15,Red Lechwe,Kobus leche
16,Tsessebe,Damaliscus lunatus
17,Impala,Aepyceros melampus
18,Common Duiker,Sylvicapra grimmia
19,Steenbok,Raphicerus campestris
20,Southern Reedbuck,Redunca arundinum
21,Sable Antelope,Hippotragus niger
22,Roan Antelope,Hippotragus equinus
23,African Bushbuck,Tragelaphus scriptus
24,Common Genet,Genetta genetta
25,Large-spotted Genet,Genetta maculata
26,Selous Mongoose,Paracynictis selousi
27,Banded Mongoose,Mungos mungo
28,Vervet Monkey,Chlorocebus pygerythrus
29,Chacma Baboon,Papio ursinus
30,Southern African Porcupine,Hystrix africaeaustralis
31,Cape Hare,Lepus capensis
32,African Fish Eagle,Haliaeetus vocifer
33,African Jacana,Actophilornis africanus
34,African Skimmer,Rynchops flavirostris
35,Southern Ground Hornbill,Bucorvus leadbeateri
36,Southern Yellow-billed Hornbill,Tockus leucomelas
37,African Grey Hornbill,Lophoceros nasutus
38,Lilac-breasted Roller,Coracias caudatus
39,Crowned Lapwing,Vanellus coronatus
40,Wattled Lapwing,Vanellus senegallus
41,African Openbill,Anastomus lamelligerus
42,Marabou Stork,Leptoptilos crumenifer
43,Yellow-billed Stork,Mycteria ibis
44,African Woolly-necked Stork,Ciconia microscelis
45,Hamerkop,Scopus umbretta
46,Goliath Heron,Ardea goliath
47,African Darter,Anhinga rufa
48,Great White Egret,Ardea alba
49,Hadada Ibis,Bostrychia hagedash
50,Glossy Ibis,Plegadis falcinellus
51,African Sacred Ibis,Threskiornis aethiopicus
52,Helmeted Guineafowl,Numida meleagris
53,Crested Francolin,Ortygornis sephaena
54,Natal Spurfowl,Pternistis natalensis
55,Kori Bustard,Ardeotis kori
56,African Paradise Flycatcher,Terpsiphone viridis
57,Southern Red-billed Hornbill,Tockus rufirostris
58,Meyers Parrot,Poicephalus meyeri
59,Grey Go-away-bird,Corythaixoides concolor
60,Burchell's Starling,Lamprotornis australis
61,Cape Starling,Lamprotornis nitens
62,African Hoopoe,Upupa africana
63,Woodland Kingfisher,Halcyon senegalensis
64,Pied Kingfisher,Ceryle rudis
65,Malachite Kingfisher,Corythornis cristatus
66,White-fronted Bee-eater,Merops bullockoides
67,Little Bee-eater,Merops pusillus
68,Nile Crocodile,Crocodylus niloticus
69,Nile Monitor,Varanus niloticus
70,Southern Rock Python,Python natalensis
